,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,Pastelería Vait,ChIJRyCU8RkpQg0RNikv9H3P4Wo,40.4634021,-3.6872361,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 52, 50, 59, 57, 45, 28, 14, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 71, 71, 59, 69, 80, 59, 23, 4, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 61, 61, 69, 66, 52, 33, 19, 7, 2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 59, 71, 85, 83, 66, 45, 23, 0, 4, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 78, 95, 100, 80, 52, 26, 11, 4, 4, 4, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 57, 61, 66, 64, 52, 38, 23, 11, 4, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 47, 52, 57, 54, 45, 30, 19, 9, 4, 0, 0, 0, 0, 0]"
1,Starbucks,ChIJm2VWnPsoQg0RoiGw_grXo4o,40.4479271,-3.6952059,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 7, 25, 30, 25, 23, 23, 15, 10, 14, 37, 62, 63, 39, 13, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 15, 34, 34, 18, 9, 10, 15, 20, 26, 37, 54, 65, 56, 31, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 30, 30, 37, 40, 34, 20, 19, 48, 95, 100, 54, 14, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 14, 43, 53, 29, 9, 6, 17, 28, 34, 28, 32, 57, 50, 14, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 29, 32, 27, 17, 11, 13, 30, 57, 82, 88, 70, 42, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 15, 27, 34, 32, 26, 22, 31, 57, 86, 92, 70, 38, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 23, 32, 36, 31, 23, 23, 40, 64, 60, 36, 43, 32, 0, 0]"
2,La Esperanza,ChIJUZ2yDQQpQg0RK5HfxnUr9_0,40.4592318,-3.6965976,bakery,,,,,,,
3,Pastelería Inbay,ChIJvcQ88QgpQg0Ra4GpxwXksIE,40.4655901,-3.699938399999999,bakery,,,,,,,
4,Valpan S.A.,ChIJsbQC5VUoQg0RKxNGBe6Le60,40.46078139999999,-3.698170999999999,bakery,,,,,,,
5,Boa massa,ChIJk9s5DAQpQg0RGqVnRT1jGMc,40.4593685,-3.6967599,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 42, 47, 42, 42, 47, 47, 31, 10, 5, 5, 5, 5, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 52, 68, 84, 84, 73, 57, 36, 0, 0, 5, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 42, 73, 100, 100, 73, 42, 21, 0, 0, 5, 15, 15, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 47, 73, 89, 84, 68, 42, 21, 0, 0, 5, 5, 10, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 84, 94, 84, 84, 94, 78, 47, 21, 10, 21, 31, 26, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 21, 52, 73, 73, 63, 52, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 78, 84, 63, 63, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,La Tahona Panadería - Pastelería,ChIJx9fc9QcpQg0RsC73Apo0oC8,40.4627699,-3.7028107,bakery,,,,,,,
7,Dulces Glasse,ChIJfxPEc6opQg0RVZg9tkwJrG0,40.4571257,-3.703320100000001,bakery,,,,,,,
8,El Horno,ChIJrQwF3wQpQg0R4b8gX_9U_Sg,40.4610287,-3.693782899999999,bakery,"[0, 0, 0, 0, 0, 0, 0, 11, 26, 32, 23, 17, 17, 20, 17, 14, 11, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 11, 26, 41, 41, 32, 20, 14, 11, 11, 5, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 32, 47, 50, 44, 52, 55, 29, 11, 17, 20, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 41, 58, 67, 100, 76, 38, 35, 32, 26, 17, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 5, 14, 35, 58, 73, 67, 44, 26, 14, 11, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 32, 38, 32, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,Delicias del 38,ChIJ9-NURaopQg0RIoG5HSkl96c,40.4566589,-3.7049012,bakery,,,,,,,
